,id,story,query,target,target_text,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,task_split
0,0fc660c1-e7d5-41fb-8d72-d2beb2c8d2ef,"[Ashley]'s daughter, [Lillian], asked her mom to read her a story. [Nicholas]'s sister [Lillian] asked him for some help planting her garden.","('Ashley', 'Nicholas')",15,son,"[Ashley]'s daughter, [Lillian], asked her mom to read her a story. [Nicholas]'s sister [Lillian] asked him for some help planting her garden.","[{('Ashley', 'son', 'Nicholas'): [('Ashley', 'daughter', 'Lillian'), ('Lillian', 'brother', 'Nicholas')]}]",daughter-brother,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'brother']","(0, 2)","Ashley:female,Lillian:female,Nicholas:male",train
1,b1c985cf-69b5-4575-97d3-f5ee6807b315,[Nancy] likes to cut the hair of her daughter [Heidi]. [Heidi]'s sister [Lorraine] went to beauty school and taught them all how to cut hair expertly.,"('Nancy', 'Lorraine')",16,daughter,[Nancy] likes to cut the hair of her daughter [Heidi]. [Heidi]'s sister [Lorraine] went to beauty school and taught them all how to cut hair expertly.,"[{('Nancy', 'daughter', 'Lorraine'): [('Nancy', 'daughter', 'Heidi'), ('Heidi', 'sister', 'Lorraine')]}]",daughter-sister,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'sister']","(0, 2)","Nancy:female,Heidi:female,Lorraine:female",train
2,5e7fc867-3782-4ff6-98d5-33394fac9a68,[Dale] and his sister [Nancy] are decorating for a party. [Nancy]'s daughter [Louise] thinks the party will be fun.,"('Dale', 'Louise')",17,niece,[Dale] and his sister [Nancy] are decorating for a party. [Nancy]'s daughter [Louise] thinks the party will be fun.,"[{('Dale', 'niece', 'Louise'): [('Dale', 'sister', 'Nancy'), ('Nancy', 'daughter', 'Louise')]}]",sister-daughter,task_1.2,"[(0, 1), (1, 2)]","['sister', 'daughter']","(0, 2)","Dale:male,Nancy:female,Louise:female",train
3,9bc318aa-3c85-4fef-8e6f-6d575fce62ca,[Lillian] and her sister [Nancy] are the only children in their family. [Lillian]'s biggest accomplishment is raising her son [Douglas].,"('Nancy', 'Douglas')",14,nephew,[Lillian] and her sister [Nancy] are the only children in their family. [Lillian]'s biggest accomplishment is raising her son [Douglas].,"[{('Nancy', 'nephew', 'Douglas'): [('Nancy', 'sister', 'Lillian'), ('Lillian', 'son', 'Douglas')]}]",sister-son,task_1.2,"[(0, 1), (1, 2)]","['sister', 'son']","(0, 2)","Nancy:female,Lillian:female,Douglas:male",train
4,6cb675ce-a3d1-44ca-8d3e-8c599566675b,"[Ashley] liked to go to the park with her granddaughter [Charlotte]. [Dale], [Charlotte]'s father, like to take her to the movies instead.","('Dale', 'Ashley')",6,mother,"[Ashley] liked to go to the park with her granddaughter [Charlotte]. [Dale], [Charlotte]'s father, like to take her to the movies instead.","[{('Dale', 'mother', 'Ashley'): [('Dale', 'daughter', 'Charlotte'), ('Charlotte', 'grandmother', 'Ashley')]}]",daughter-grandmother,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'grandmother']","(0, 2)","Dale:male,Charlotte:female,Ashley:female",train
5,689c12a6-d83d-4a4d-9bf8-586c5a810c7c,"[Theresa] wants to make a special meal for her daughter [Belva]'s birthday. [Theresa] adores her daughter [Ashley]. [Ashley] loves her very much, too.","('Ashley', 'Belva')",11,granddaughter,"[Theresa] adores her daughter [Ashley]. [Ashley] loves her very much, too. [Theresa] wants to make a special meal for her daughter [Belva]'s birthday.","[{('Ashley', 'granddaughter', 'Belva'): [('Ashley', 'daughter', 'Theresa'), ('Theresa', 'daughter', 'Belva')]}]",daughter-daughter,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'daughter']","(0, 2)","Ashley:female,Theresa:female,Belva:female",train
6,3b742cb7-266f-452d-9204-495ec4d1f6f2,[Heidi] and her sister [Lorraine] were playing outside. [Heidi]'s mother [Nancy] called for her to come inside.,"('Lorraine', 'Nancy')",6,mother,[Heidi] and her sister [Lorraine] were playing outside. [Heidi]'s mother [Nancy] called for her to come inside.,"[{('Lorraine', 'mother', 'Nancy'): [('Lorraine', 'sister', 'Heidi'), ('Heidi', 'mother', 'Nancy')]}]",sister-mother,task_1.2,"[(0, 1), (1, 2)]","['sister', 'mother']","(0, 2)","Lorraine:female,Heidi:female,Nancy:female",train
7,a2f96883-800e-43c6-8e1e-f229d2cac35f,"[Jerry]'s father, [George], bought him some ice cream. [Douglas] helped his brother, [Jerry], study for the chemistry exam.","('Douglas', 'George')",5,father,"[Douglas] helped his brother, [Jerry], study for the chemistry exam. [Jerry]'s father, [George], bought him some ice cream.","[{('Douglas', 'father', 'George'): [('Douglas', 'brother', 'Jerry'), ('Jerry', 'father', 'George')]}]",brother-father,task_1.2,"[(0, 1), (1, 2)]","['brother', 'father']","(0, 2)","Douglas:male,Jerry:male,George:male",train
8,d709b8ce-3d3a-4a5c-a04f-3c62bb60a83b,"[Lillian] dotes on her son [John]. Because of this, [John] is pretty spoiled. [John]'s wife, [Andrea], was excited to plan a surprise party for him.","('Lillian', 'Andrea')",9,daughter-in-law,"[Lillian] dotes on her son [John]. Because of this, [John] is pretty spoiled. [John]'s wife, [Andrea], was excited to plan a surprise party for him.","[{('Lillian', 'daughter-in-law', 'Andrea'): [('Lillian', 'son', 'John'), ('John', 'wife', 'Andrea')]}]",son-wife,task_1.2,"[(0, 1), (1, 2)]","['son', 'wife']","(0, 2)","Lillian:female,John:male,Andrea:female",train
9,1c4b26c5-5c5c-44d1-89ed-640b2cdf2f60,"[Charlotte] asked her father, [Dale], if he could help her fix her alternator. [Dale] told her to get her husband, [Nicolas], to do it instead.","('Nicolas', 'Dale')",12,father-in-law,"[Charlotte] asked her father, [Dale], if he could help her fix her alternator. [Dale] told her to get her husband, [Nicolas], to do it instead.","[{('Nicolas', 'father-in-law', 'Dale'): [('Nicolas', 'wife', 'Charlotte'), ('Charlotte', 'father', 'Dale')]}]",wife-father,task_1.2,"[(0, 1), (1, 2)]","['wife', 'father']","(0, 2)","Nicolas:male,Charlotte:female,Dale:male",train
